device_type_id,device_type,variable_name,access,type,unit,gain,address,quantity,function_code
1,Smart Logger,Date&Time,RW,U32,N/A,1,40000,2,3
1,Smart Logger,City,RW,U32,N/A,1,40002,2,3
1,Smart Logger,Daylight Saving Time (DST),RW,U16,N/A,1,40004,1,3
1,Smart Logger,Time Zone,RO,I32,s,1,40005,2,3
1,Smart Logger,DST state,RO,U16,N/A,1,40007,1,3
1,Smart Logger,DST offset,RO,U16,mins,1,40008,1,3
1,Smart Logger,The Local Time,RO,U32,N/A,1,40009,2,3
1,Smart Logger,Power on,WO,U16,N/A,1,40200,1,3
1,Smart Logger,Power off,WO,U16,N/A,1,40201,1,3
1,Smart Logger,Power on/off,WO,U16,N/A,1,40202,1,3
1,Smart Logger,Power on/off,WO,U16,N/A,1,40203,1,3
1,Smart Logger,Transfer trip,RW,U16,N/A,1,40204,1,3
1,Smart Logger,Array reset,WO,U16,N/A,1,40205,1,3
1,Smart Logger,Active adjustment,RW,U32,kW,10,40420,2,3
1,Smart Logger,Reactive adjustment,RW,I32,kVar,10,40422,2,3
1,Smart Logger,Active adjustment,RW,U32,kW,10,40424,2,3
1,Smart Logger,Reactive adjustment,RW,I32,kVar,10,40426,2,3
1,Smart Logger,Active power adjustment by percentage,RW,U16,%,10,40428,1,3
1,Smart Logger,Power factor adjustment,RW,I16,N/A,1000,40429,1,3
1,Smart Logger,DC current,RO,I16,A,10,40500,1,3
1,Smart Logger,Input power,RO,U32,kW,1000,40521,2,3
1,Smart Logger,CO2,RO,U32,kg,10,40523,2,3
1,Smart Logger,load_kw,RO,I32,kW,1000,40525,2,3
1,Smart Logger,Power factor,RO,I16,N/A,1000,40532,1,3
1,Smart Logger,Plant status,RO,U16,N/A,1,40543,1,3
1,Smart Logger,Reactive power,RO,I32,kVar,1000,40544,2,3
1,Smart Logger,CO2,RO,U64,kg,100,40550,4,3
1,Smart Logger,DC current 2,RO,I32,A,10,40554,2,3
1,Smart Logger,E-Total,RO,U32,kWh,10,40560,2,3
1,Smart Logger,E-Daily,RO,U32,kWh,10,40562,2,3
1,Smart Logger,Duration of daily power generation,RO,U32,h,10,40564,2,3
1,Smart Logger,Plant status,RO,U16,N/A,1,40566,1,3
1,Smart Logger,Plant status,RO,U16,N/A,1,40567,1,3
1,Smart Logger,Active alarm sequence number,RO,U32,N/A,1,40568,2,3
1,Smart Logger,Historical alarm sequence number,RO,U32,N/A,1,40570,2,3
1,Smart Logger,Phase A current,RO,I16,A,1,40572,1,3
1,Smart Logger,Phase B current,RO,I16,A,1,40573,1,3
1,Smart Logger,Phase C current,RO,I16,A,1,40574,1,3
1,Smart Logger,Uab,RO,U16,V,10,40575,1,3
1,Smart Logger,Ubc,RO,U16,V,10,40576,1,3
1,Smart Logger,Uca,RO,U16,V,10,40577,1,3
1,Smart Logger,Inverter Efficiency,RO,U16,%,100,40685,1,3
1,Smart Logger,Max. reactive adjustment,RO,U32,kVar,10,40693,2,3
